category,tenor_years,bank,grr,spread,avg_lending_rate,average_apr,as_of,max_fees_total,fee_count,basis,source
sme,1,CalBank PLC,29.31,3.65,32.96,33.88,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,FBNBank (Ghana) Limited,29.31,4.65,33.96,34.28,2024-09-30,2.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Ecobank Ghana Limited,29.31,4.83,34.14,34.82,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,OmniBSIC Bank Ghana Limited,29.31,1.69,31.0,35.04,2024-09-30,4.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Prudential Bank Limited,29.31,4.69,34.0,35.1,2024-09-30,4.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Access Bank Ghana Plc,29.31,2.09,31.4,35.47,2024-09-30,3.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Zenith Bank (Ghana) Limited,29.31,-1.77,27.54,35.48,2024-09-30,5.5,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,First Atlantic Bank Limited,29.31,4.25,33.56,35.57,2024-09-30,1.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Guaranty Trust Bank (Ghana) Limited,29.31,5.69,35.0,36.71,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Bank of Africa Ghana Limited,29.31,-0.19,29.12,38.27,2024-09-30,4.21,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Republic Bank (Ghana) PLC,29.31,4.42,33.73,38.73,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Societe General Ghana PLC,29.31,5.15,34.46,38.81,2024-09-30,3.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,United Bank for Africa (Ghana) Limited,29.31,6.69,36.0,39.0,2024-09-30,3.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,First National Bank (Ghana) Limited,29.31,5.56,34.87,40.3,2024-09-30,2.5,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Stanbic Bank Ghana Limited,29.31,7.93,37.24,43.49,2024-09-30,3.55,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Agricultural Development Bank Limited,29.31,11.38,40.69,45.76,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,Fidelity Bank Ghana Limited,29.31,11.16,40.47,59.44,2024-09-30,2.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,1,National Investment Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,GCB Bank Limited,29.31,5.79,35.1,29.58,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Access Bank Ghana Plc,29.31,-0.82,28.49,30.74,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Universal Merchant Bank Limited,29.31,,30.0,31.18,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,United Bank for Africa (Ghana) Limited,29.31,2.69,32.0,33.0,2024-09-30,2.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Standard Chartered Bank (Ghana) Limited,29.31,-3.97,25.34,33.82,2024-09-30,0.02,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Prudential Bank Limited,29.31,,34.31,34.5,2024-09-30,4.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Ecobank Ghana Limited,29.31,5.14,34.45,34.82,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,OmniBSIC Bank Ghana Limited,29.31,,31.0,35.04,2024-09-30,4.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Republic Bank (Ghana) PLC,29.31,4.42,33.73,35.21,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Zenith Bank (Ghana) Limited,29.31,4.14,33.45,35.35,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,FBNBank (Ghana) Limited,29.31,5.69,35.0,36.22,2024-09-30,2.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Absa Bank Ghana Limited,29.31,6.5,35.81,36.92,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Agricultural Development Bank Limited,29.31,6.01,35.32,36.99,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Consolidated Bank Ghana Limited,29.31,,35.96,39.3,2024-09-30,2.4,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Fidelity Bank Ghana Limited,29.31,8.67,37.98,41.6,2024-09-30,2.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Stanbic Bank Ghana Limited,29.31,7.54,36.85,44.24,2024-09-30,3.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,CalBank PLC,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Bank of Africa Ghana Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,National Investment Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,First Atlantic Bank Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Guaranty Trust Bank (Ghana) Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,First National Bank (Ghana) Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,3,Societe General Ghana PLC,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Fidelity Bank Ghana Limited,29.31,-2.91,26.4,26.91,2024-09-30,1.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Prudential Bank Limited,29.31,0.69,30.0,31.73,2024-09-30,4.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Standard Chartered Bank (Ghana) Limited,29.31,-3.97,25.34,33.82,2024-09-30,0.02,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Republic Bank (Ghana) PLC,29.31,4.42,33.73,34.52,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,OmniBSIC Bank Ghana Limited,29.31,1.69,31.0,35.04,2024-09-30,4.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Ecobank Ghana Limited,29.31,5.54,34.85,35.22,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,United Bank for Africa (Ghana) Limited,29.31,6.69,36.0,36.0,2024-09-30,2.0,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Access Bank Ghana Plc,29.31,7.41,36.72,36.9,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Agricultural Development Bank Limited,29.31,4.85,34.16,37.42,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Stanbic Bank Ghana Limited,29.31,7.66,36.97,39.45,2024-09-30,3.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,CalBank PLC,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Bank of Africa Ghana Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
sme,5,Zenith Bank (Ghana) Limited,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
